f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-11 0.005200 10000 1970 2000.000000
1+1E-0.187942 1+1E-11 0.005349 10000 1981 2000.000000
1+1E-0.546643 1+1E-11 0.005623 10000 1980 2000.000000
1+1E-0.875664 1+1E-11 0.005724 10000 1969 2000.000000
1+1E-1.190478 1+1E-11 0.005752 10000 1928 2000.000000
1+1E-1.498346 1+1E-11 0.005771 10000 1954 2000.000000
1+1E-1.802783 1+1E-11 0.005744 10000 1942 2000.000000
1+1E-2.105512 1+1E-11 0.005797 10000 1912 2000.000000
1+1E-2.407391 1+1E-11 0.005705 10000 1876 2000.000000
1+1E-2.708846 1+1E-11 0.005683 10000 1848 2000.000000
1+1E-3.010088 1+1E-11 0.016987 30000 5568 6000.000000
1+1E-3.311224 1+1E-11 0.011277 20000 3759 4000.000000
1+1E-3.612307 1+1E-11 0.005604 10000 1804 2000.000000
1+1E-3.913363 1+1E-11 0.011272 20000 3668 4000.000000
1+1E-4.214407 1+1E-11 0.039413 70000 12654 14000.000000
1+1E-4.515443 1+1E-11 0.011306 20000 3630 4000.000000
1+1E-4.816477 1+1E-11 0.022597 40000 7384 8000.000000
1+1E-5.117508 1+1E-11 0.028286 50000 9215 10000.000000
1+1E-5.418539 1+1E-11 0.039658 70000 12860 14000.000000
1+1E-5.719570 1+1E-11 0.050851 90000 16254 18000.000000
1+1E-6.020600 1+1E-11 0.016752 30000 5487 6000.000000
1+1E-6.321630 1+1E-11 0.011217 20000 3615 4000.000000
1+1E-6.622660 1+1E-11 0.016770 30000 5630 6000.000000
1+1E-6.923690 1+1E-11 0.022550 40000 7408 8000.000000
1+1E-7.224720 1+1E-11 0.011263 20000 3607 4000.000000
1+1E-7.525750 1+1E-11 0.016982 30000 5502 6000.000000
1+1E-7.826780 1+1E-11 0.016884 30000 5466 6000.000000
1+1E-8.127810 1+1E-11 0.101085 180000 32838 36000.000000
1+1E-8.428840 1+1E-11 0.016921 30000 5420 6000.000000
1+1E-8.729870 1+1E-11 0.016861 30000 5450 6000.000000
1+1E-9.030900 1+1E-11 0.011232 20000 3632 4000.000000
1+1E-9.331930 1+1E-11 0.016826 30000 5631 6000.000000
1+1E-9.632960 1+1E-11 0.033660 60000 11034 12000.000000
1+1E-9.933990 1+1E-11 0.056038 100000 18415 20000.000000
1+1E-10.235020 1+1E-11 0.011263 20000 3619 4000.000000
1+1E-10.536050 1+1E-11 0.011344 20000 3728 4000.000000
1+1E-10.837080 1+1E-11 0.022548 40000 7305 8000.000000
0.703991
