f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-11 0.007041 10000 1985 2000.000000
1+1E-0.187942 1+1E-11 0.007261 10000 1980 2000.000000
1+1E-0.546643 1+1E-11 0.007577 10000 1975 2000.000000
1+1E-0.875664 1+1E-11 0.007815 10000 1955 2000.000000
1+1E-1.190478 1+1E-11 0.007857 10000 1967 2000.000000
1+1E-1.498346 1+1E-11 0.007723 10000 1959 2000.000000
1+1E-1.802783 1+1E-11 0.007717 10000 1898 2000.000000
1+1E-2.105512 1+1E-11 0.007729 10000 1876 2000.000000
1+1E-2.407391 1+1E-11 0.007554 10000 1888 2000.000000
1+1E-2.708846 1+1E-11 0.015182 20000 3817 4000.000000
1+1E-3.010088 1+1E-11 0.014289 20000 3690 4000.000000
1+1E-3.311224 1+1E-11 0.006942 10000 1823 2000.000000
1+1E-3.612307 1+1E-11 0.020819 30000 5422 6000.000000
1+1E-3.913363 1+1E-11 0.013881 20000 3638 4000.000000
1+1E-4.214407 1+1E-11 0.013895 20000 3646 4000.000000
1+1E-4.515443 1+1E-11 0.006972 10000 1809 2000.000000
1+1E-4.816477 1+1E-11 0.035700 50000 9336 10000.000000
1+1E-5.117508 1+1E-11 0.022614 30000 5427 6000.000000
1+1E-5.418539 1+1E-11 0.030294 40000 7287 8000.000000
1+1E-5.719570 1+1E-11 0.022752 30000 5553 6000.000000
1+1E-6.020600 1+1E-11 0.015201 20000 3628 4000.000000
1+1E-6.321630 1+1E-11 0.022416 30000 5518 6000.000000
1+1E-6.622660 1+1E-11 0.013926 20000 3706 4000.000000
1+1E-6.923690 1+1E-11 0.020854 30000 5506 6000.000000
1+1E-7.224720 1+1E-11 0.083658 120000 21660 24000.000000
1+1E-7.525750 1+1E-11 0.014129 20000 3634 4000.000000
1+1E-7.826780 1+1E-11 0.015186 20000 3615 4000.000000
1+1E-8.127810 1+1E-11 0.037796 50000 9249 10000.000000
1+1E-8.428840 1+1E-11 0.022172 30000 5496 6000.000000
1+1E-8.729870 1+1E-11 0.041489 60000 10926 12000.000000
1+1E-9.030900 1+1E-11 0.020783 30000 5452 6000.000000
1+1E-9.331930 1+1E-11 0.020860 30000 5427 6000.000000
1+1E-9.632960 1+1E-11 0.028027 40000 7286 8000.000000
1+1E-9.933990 1+1E-11 0.013852 20000 3662 4000.000000
1+1E-10.235020 1+1E-11 0.022453 30000 5525 6000.000000
1+1E-10.536050 1+1E-11 0.022789 30000 5724 6000.000000
1+1E-10.837080 1+1E-11 0.015149 20000 3664 4000.000000
0.702616
