run: 29 | L: 4 | f_final: 1+1E-5 | flatness: 80 | dim: 2D | lattice: SS
Fri Jun 18 15:11:15 2021 | f: 1+1E0.235094/1+1E-5 | sweeps: 10000 | flat time: 0.005639s
Fri Jun 18 15:11:15 2021 | f: 1+1E-0.187942/1+1E-5 | sweeps: 10000 | flat time: 0.005702s
Fri Jun 18 15:11:15 2021 | f: 1+1E-0.546643/1+1E-5 | sweeps: 10000 | flat time: 0.006192s
Fri Jun 18 15:11:15 2021 | f: 1+1E-0.875664/1+1E-5 | sweeps: 10000 | flat time: 0.005868s
Fri Jun 18 15:11:15 2021 | f: 1+1E-1.190478/1+1E-5 | sweeps: 10000 | flat time: 0.005901s
Fri Jun 18 15:11:15 2021 | f: 1+1E-1.498346/1+1E-5 | sweeps: 10000 | flat time: 0.005959s
Fri Jun 18 15:11:15 2021 | f: 1+1E-1.802783/1+1E-5 | sweeps: 10000 | flat time: 0.005994s
Fri Jun 18 15:11:15 2021 | f: 1+1E-2.105512/1+1E-5 | sweeps: 10000 | flat time: 0.005995s
Fri Jun 18 15:11:15 2021 | f: 1+1E-2.407391/1+1E-5 | sweeps: 10000 | flat time: 0.005990s
Fri Jun 18 15:11:15 2021 | f: 1+1E-2.708846/1+1E-5 | sweeps: 10000 | flat time: 0.006014s
Fri Jun 18 15:11:15 2021 | f: 1+1E-3.010088/1+1E-5 | sweeps: 10000 | flat time: 0.006234s
Fri Jun 18 15:11:15 2021 | f: 1+1E-3.311224/1+1E-5 | sweeps: 10000 | flat time: 0.006114s
Fri Jun 18 15:11:15 2021 | f: 1+1E-3.612307/1+1E-5 | sweeps: 30000 | flat time: 0.018433s
Fri Jun 18 15:11:15 2021 | f: 1+1E-3.913363/1+1E-5 | sweeps: 20000 | flat time: 0.014316s
Fri Jun 18 15:11:15 2021 | f: 1+1E-4.214407/1+1E-5 | sweeps: 20000 | flat time: 0.011993s
Fri Jun 18 15:11:15 2021 | f: 1+1E-4.515443/1+1E-5 | sweeps: 20000 | flat time: 0.012078s
Fri Jun 18 15:11:15 2021 | f: 1+1E-4.816477/1+1E-5 | sweeps: 10000 | flat time: 0.005920s
