run: 100 | L: 4 | f_final: 1+1E-4 | flatness: 95 | dim: 2D | lattice: SS
Fri Jun 18 15:19:23 2021 | f: 1+1E0.235094/1+1E-4 | sweeps: 10000 | flat time: 0.005505s
Fri Jun 18 15:19:23 2021 | f: 1+1E-0.187942/1+1E-4 | sweeps: 10000 | flat time: 0.005550s
Fri Jun 18 15:19:23 2021 | f: 1+1E-0.546643/1+1E-4 | sweeps: 10000 | flat time: 0.006085s
Fri Jun 18 15:19:23 2021 | f: 1+1E-0.875664/1+1E-4 | sweeps: 10000 | flat time: 0.006011s
Fri Jun 18 15:19:23 2021 | f: 1+1E-1.190478/1+1E-4 | sweeps: 10000 | flat time: 0.005970s
Fri Jun 18 15:19:23 2021 | f: 1+1E-1.498346/1+1E-4 | sweeps: 10000 | flat time: 0.005905s
Fri Jun 18 15:19:23 2021 | f: 1+1E-1.802783/1+1E-4 | sweeps: 10000 | flat time: 0.005867s
Fri Jun 18 15:19:23 2021 | f: 1+1E-2.105512/1+1E-4 | sweeps: 20000 | flat time: 0.011659s
Fri Jun 18 15:19:23 2021 | f: 1+1E-2.407391/1+1E-4 | sweeps: 20000 | flat time: 0.011709s
Fri Jun 18 15:19:23 2021 | f: 1+1E-2.708846/1+1E-4 | sweeps: 10000 | flat time: 0.005891s
Fri Jun 18 15:19:23 2021 | f: 1+1E-3.010088/1+1E-4 | sweeps: 40000 | flat time: 0.023395s
Fri Jun 18 15:19:23 2021 | f: 1+1E-3.311224/1+1E-4 | sweeps: 30000 | flat time: 0.017912s
Fri Jun 18 15:19:23 2021 | f: 1+1E-3.612307/1+1E-4 | sweeps: 80000 | flat time: 0.046487s
Fri Jun 18 15:19:23 2021 | f: 1+1E-3.913363/1+1E-4 | sweeps: 70000 | flat time: 0.041368s
