f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-5 0.005548 10000 1942 2000.000000
1+1E-0.187942 1+1E-5 0.005597 10000 1976 2000.000000
1+1E-0.546643 1+1E-5 0.005982 10000 1972 2000.000000
1+1E-0.875664 1+1E-5 0.005848 10000 1975 2000.000000
1+1E-1.190478 1+1E-5 0.005827 10000 1971 2000.000000
1+1E-1.498346 1+1E-5 0.005823 10000 1959 2000.000000
1+1E-1.802783 1+1E-5 0.005835 10000 1935 2000.000000
1+1E-2.105512 1+1E-5 0.005827 10000 1905 2000.000000
1+1E-2.407391 1+1E-5 0.005814 10000 1645 2000.000000
1+1E-2.708846 1+1E-5 0.005795 10000 1747 2000.000000
1+1E-3.010088 1+1E-5 0.005801 10000 1835 2000.000000
1+1E-3.311224 1+1E-5 0.005766 10000 1793 2000.000000
1+1E-3.612307 1+1E-5 0.005768 10000 1621 2000.000000
1+1E-3.913363 1+1E-5 0.005881 10000 1605 2000.000000
1+1E-4.214407 1+1E-5 0.005873 10000 1633 2000.000000
1+1E-4.515443 1+1E-5 0.006138 10000 1723 2000.000000
1+1E-4.816477 1+1E-5 0.006108 10000 1431 2000.000000
0.099324
