run: 8 | L: 4 | f_final: 1+1E-5 | flatness: 70 | dim: 2D | lattice: SS
Fri Jun 18 15:08:35 2021 | f: 1+1E0.235094/1+1E-5 | sweeps: 10000 | flat time: 0.005476s
Fri Jun 18 15:08:35 2021 | f: 1+1E-0.187942/1+1E-5 | sweeps: 10000 | flat time: 0.005628s
Fri Jun 18 15:08:35 2021 | f: 1+1E-0.546643/1+1E-5 | sweeps: 10000 | flat time: 0.005967s
Fri Jun 18 15:08:35 2021 | f: 1+1E-0.875664/1+1E-5 | sweeps: 10000 | flat time: 0.005984s
Fri Jun 18 15:08:35 2021 | f: 1+1E-1.190478/1+1E-5 | sweeps: 10000 | flat time: 0.006032s
Fri Jun 18 15:08:35 2021 | f: 1+1E-1.498346/1+1E-5 | sweeps: 10000 | flat time: 0.006039s
Fri Jun 18 15:08:35 2021 | f: 1+1E-1.802783/1+1E-5 | sweeps: 10000 | flat time: 0.005967s
Fri Jun 18 15:08:35 2021 | f: 1+1E-2.105512/1+1E-5 | sweeps: 10000 | flat time: 0.005950s
Fri Jun 18 15:08:35 2021 | f: 1+1E-2.407391/1+1E-5 | sweeps: 10000 | flat time: 0.005787s
Fri Jun 18 15:08:35 2021 | f: 1+1E-2.708846/1+1E-5 | sweeps: 10000 | flat time: 0.005772s
Fri Jun 18 15:08:35 2021 | f: 1+1E-3.010088/1+1E-5 | sweeps: 10000 | flat time: 0.005754s
Fri Jun 18 15:08:35 2021 | f: 1+1E-3.311224/1+1E-5 | sweeps: 10000 | flat time: 0.005801s
Fri Jun 18 15:08:35 2021 | f: 1+1E-3.612307/1+1E-5 | sweeps: 10000 | flat time: 0.005789s
Fri Jun 18 15:08:35 2021 | f: 1+1E-3.913363/1+1E-5 | sweeps: 10000 | flat time: 0.005773s
Fri Jun 18 15:08:35 2021 | f: 1+1E-4.214407/1+1E-5 | sweeps: 10000 | flat time: 0.005780s
Fri Jun 18 15:08:35 2021 | f: 1+1E-4.515443/1+1E-5 | sweeps: 10000 | flat time: 0.005786s
Fri Jun 18 15:08:35 2021 | f: 1+1E-4.816477/1+1E-5 | sweeps: 20000 | flat time: 0.011632s
