run: 73 | L: 4 | f_final: 1+1E-8 | flatness: 80 | dim: 2D | lattice: SS
Fri Jun 18 15:12:08 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005514s
Fri Jun 18 15:12:08 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005560s
Fri Jun 18 15:12:08 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.005952s
Fri Jun 18 15:12:08 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005964s
Fri Jun 18 15:12:08 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.006054s
Fri Jun 18 15:12:08 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 10000 | flat time: 0.005963s
Fri Jun 18 15:12:08 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 10000 | flat time: 0.005969s
Fri Jun 18 15:12:08 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 10000 | flat time: 0.005964s
Fri Jun 18 15:12:08 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 10000 | flat time: 0.005937s
Fri Jun 18 15:12:08 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 10000 | flat time: 0.005953s
Fri Jun 18 15:12:08 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 10000 | flat time: 0.005789s
Fri Jun 18 15:12:08 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 10000 | flat time: 0.005816s
Fri Jun 18 15:12:08 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 10000 | flat time: 0.005791s
Fri Jun 18 15:12:08 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 20000 | flat time: 0.011651s
Fri Jun 18 15:12:08 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 10000 | flat time: 0.005755s
Fri Jun 18 15:12:08 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 40000 | flat time: 0.023126s
Fri Jun 18 15:12:08 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 10000 | flat time: 0.005742s
Fri Jun 18 15:12:08 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 10000 | flat time: 0.005780s
Fri Jun 18 15:12:08 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 10000 | flat time: 0.005772s
Fri Jun 18 15:12:08 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 20000 | flat time: 0.011416s
Fri Jun 18 15:12:08 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 10000 | flat time: 0.005711s
Fri Jun 18 15:12:08 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 10000 | flat time: 0.005878s
Fri Jun 18 15:12:08 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 90000 | flat time: 0.053389s
Fri Jun 18 15:12:08 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 10000 | flat time: 0.005940s
Fri Jun 18 15:12:09 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 10000 | flat time: 0.005889s
Fri Jun 18 15:12:09 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 20000 | flat time: 0.011762s
Fri Jun 18 15:12:09 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 40000 | flat time: 0.023558s
