L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 14:03:44 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005178s
Sat May 29 14:03:44 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005378s
Sat May 29 14:03:44 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.005587s
Sat May 29 14:03:44 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005629s
Sat May 29 14:03:44 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.005693s
Sat May 29 14:03:44 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 10000 | flat time: 0.005692s
Sat May 29 14:03:44 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 10000 | flat time: 0.005645s
Sat May 29 14:03:44 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 10000 | flat time: 0.005605s
Sat May 29 14:03:44 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 20000 | flat time: 0.011172s
Sat May 29 14:03:44 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 20000 | flat time: 0.011329s
Sat May 29 14:03:44 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 20000 | flat time: 0.011311s
Sat May 29 14:03:44 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 30000 | flat time: 0.017035s
Sat May 29 14:03:44 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 20000 | flat time: 0.011205s
Sat May 29 14:03:44 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 20000 | flat time: 0.011124s
Sat May 29 14:03:44 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 70000 | flat time: 0.039338s
Sat May 29 14:03:44 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 30000 | flat time: 0.016816s
Sat May 29 14:03:44 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 30000 | flat time: 0.016715s
Sat May 29 14:03:44 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 20000 | flat time: 0.011239s
Sat May 29 14:03:44 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 40000 | flat time: 0.022315s
Sat May 29 14:03:44 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 10000 | flat time: 0.005527s
Sat May 29 14:03:44 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 30000 | flat time: 0.016779s
Sat May 29 14:03:44 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 20000 | flat time: 0.011174s
Sat May 29 14:03:44 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 50000 | flat time: 0.027900s
Sat May 29 14:03:44 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 20000 | flat time: 0.011070s
Sat May 29 14:03:44 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 40000 | flat time: 0.022212s
Sat May 29 14:03:44 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 20000 | flat time: 0.011159s
Sat May 29 14:03:44 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 160000 | flat time: 0.093945s
