L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 14:04:09 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005202s
Sat May 29 14:04:09 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005300s
Sat May 29 14:04:09 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.005565s
Sat May 29 14:04:09 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005671s
Sat May 29 14:04:09 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.005714s
Sat May 29 14:04:09 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 10000 | flat time: 0.005659s
Sat May 29 14:04:09 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 10000 | flat time: 0.005599s
Sat May 29 14:04:09 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 10000 | flat time: 0.005643s
Sat May 29 14:04:09 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 10000 | flat time: 0.005599s
Sat May 29 14:04:09 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 20000 | flat time: 0.011172s
Sat May 29 14:04:09 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 20000 | flat time: 0.011147s
Sat May 29 14:04:09 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 20000 | flat time: 0.011180s
Sat May 29 14:04:09 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 40000 | flat time: 0.022249s
Sat May 29 14:04:09 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 40000 | flat time: 0.022191s
Sat May 29 14:04:09 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 20000 | flat time: 0.011028s
Sat May 29 14:04:09 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 50000 | flat time: 0.027688s
Sat May 29 14:04:09 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 20000 | flat time: 0.011017s
Sat May 29 14:04:09 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 20000 | flat time: 0.011084s
Sat May 29 14:04:09 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 20000 | flat time: 0.011111s
Sat May 29 14:04:09 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 50000 | flat time: 0.027628s
Sat May 29 14:04:09 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 40000 | flat time: 0.022103s
Sat May 29 14:04:09 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 40000 | flat time: 0.022179s
Sat May 29 14:04:09 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 90000 | flat time: 0.049919s
Sat May 29 14:04:09 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 50000 | flat time: 0.027580s
Sat May 29 14:04:10 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 130000 | flat time: 0.071866s
Sat May 29 14:04:10 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 70000 | flat time: 0.038718s
Sat May 29 14:04:10 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 50000 | flat time: 0.027662s
