L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 14:03:50 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005240s
Sat May 29 14:03:50 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005338s
Sat May 29 14:03:50 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.005562s
Sat May 29 14:03:50 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005690s
Sat May 29 14:03:50 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.005716s
Sat May 29 14:03:50 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 10000 | flat time: 0.005653s
Sat May 29 14:03:50 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 10000 | flat time: 0.005626s
Sat May 29 14:03:50 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 10000 | flat time: 0.005656s
Sat May 29 14:03:50 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 10000 | flat time: 0.005562s
Sat May 29 14:03:50 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 10000 | flat time: 0.005564s
Sat May 29 14:03:50 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 10000 | flat time: 0.005565s
Sat May 29 14:03:50 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 30000 | flat time: 0.016628s
Sat May 29 14:03:50 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 20000 | flat time: 0.011148s
Sat May 29 14:03:50 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 50000 | flat time: 0.027745s
Sat May 29 14:03:50 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 50000 | flat time: 0.027901s
Sat May 29 14:03:50 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 50000 | flat time: 0.028504s
Sat May 29 14:03:50 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 50000 | flat time: 0.028099s
Sat May 29 14:03:50 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 30000 | flat time: 0.016812s
Sat May 29 14:03:50 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 30000 | flat time: 0.016733s
Sat May 29 14:03:50 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 20000 | flat time: 0.011246s
Sat May 29 14:03:50 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 20000 | flat time: 0.011150s
Sat May 29 14:03:50 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 40000 | flat time: 0.022251s
Sat May 29 14:03:50 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 60000 | flat time: 0.033567s
Sat May 29 14:03:50 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 20000 | flat time: 0.011346s
Sat May 29 14:03:50 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 40000 | flat time: 0.022206s
Sat May 29 14:03:50 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 30000 | flat time: 0.016612s
Sat May 29 14:03:50 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 60000 | flat time: 0.033335s
