f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-3 0.005519 10000 1973 2000.000000
1+1E-0.187942 1+1E-3 0.005708 10000 1987 2000.000000
1+1E-0.546643 1+1E-3 0.005949 10000 1977 2000.000000
1+1E-0.875664 1+1E-3 0.006016 10000 1961 2000.000000
1+1E-1.190478 1+1E-3 0.005849 10000 1977 2000.000000
1+1E-1.498346 1+1E-3 0.005867 10000 1844 2000.000000
1+1E-1.802783 1+1E-3 0.005819 10000 1938 2000.000000
1+1E-2.105512 1+1E-3 0.005825 10000 1906 2000.000000
1+1E-2.407391 1+1E-3 0.005840 10000 1882 2000.000000
1+1E-2.708846 1+1E-3 0.005817 10000 1802 2000.000000
0.058269
