f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-5 0.005332 10000 1966 2000.000000
1+1E-0.187942 1+1E-5 0.005450 10000 1988 2000.000000
1+1E-0.546643 1+1E-5 0.005904 10000 1982 2000.000000
1+1E-0.875664 1+1E-5 0.006045 10000 1975 2000.000000
1+1E-1.190478 1+1E-5 0.005960 10000 1973 2000.000000
1+1E-1.498346 1+1E-5 0.006145 10000 1942 2000.000000
1+1E-1.802783 1+1E-5 0.006082 10000 1933 2000.000000
1+1E-2.105512 1+1E-5 0.005952 10000 1921 2000.000000
1+1E-2.407391 1+1E-5 0.011630 20000 3875 4000.000000
1+1E-2.708846 1+1E-5 0.011669 20000 3869 4000.000000
1+1E-3.010088 1+1E-5 0.017445 30000 5786 6000.000000
1+1E-3.311224 1+1E-5 0.023447 40000 7624 8000.000000
1+1E-3.612307 1+1E-5 0.052102 90000 17354 18000.000000
1+1E-3.913363 1+1E-5 0.058228 100000 19010 20000.000000
1+1E-4.214407 1+1E-5 0.127996 220000 42088 44000.000000
1+1E-4.515443 1+1E-5 0.111467 190000 36199 38000.000000
1+1E-4.816477 1+1E-5 0.045917 80000 15428 16000.000000
0.506946
