run: 23 | L: 4 | f_final: 1+1E-11 | flatness: 70 | dim: 2D | lattice: SS
Fri Jun 18 15:10:13 2021 | f: 1+1E0.235094/1+1E-11 | sweeps: 10000 | flat time: 0.005317s
Fri Jun 18 15:10:13 2021 | f: 1+1E-0.187942/1+1E-11 | sweeps: 10000 | flat time: 0.005451s
Fri Jun 18 15:10:13 2021 | f: 1+1E-0.546643/1+1E-11 | sweeps: 10000 | flat time: 0.005810s
Fri Jun 18 15:10:13 2021 | f: 1+1E-0.875664/1+1E-11 | sweeps: 10000 | flat time: 0.005888s
Fri Jun 18 15:10:13 2021 | f: 1+1E-1.190478/1+1E-11 | sweeps: 10000 | flat time: 0.005846s
Fri Jun 18 15:10:13 2021 | f: 1+1E-1.498346/1+1E-11 | sweeps: 10000 | flat time: 0.005821s
Fri Jun 18 15:10:13 2021 | f: 1+1E-1.802783/1+1E-11 | sweeps: 10000 | flat time: 0.005816s
Fri Jun 18 15:10:13 2021 | f: 1+1E-2.105512/1+1E-11 | sweeps: 10000 | flat time: 0.005823s
Fri Jun 18 15:10:13 2021 | f: 1+1E-2.407391/1+1E-11 | sweeps: 10000 | flat time: 0.005784s
Fri Jun 18 15:10:13 2021 | f: 1+1E-2.708846/1+1E-11 | sweeps: 10000 | flat time: 0.005760s
Fri Jun 18 15:10:13 2021 | f: 1+1E-3.010088/1+1E-11 | sweeps: 10000 | flat time: 0.005732s
Fri Jun 18 15:10:13 2021 | f: 1+1E-3.311224/1+1E-11 | sweeps: 10000 | flat time: 0.005752s
Fri Jun 18 15:10:13 2021 | f: 1+1E-3.612307/1+1E-11 | sweeps: 10000 | flat time: 0.005761s
Fri Jun 18 15:10:13 2021 | f: 1+1E-3.913363/1+1E-11 | sweeps: 10000 | flat time: 0.005738s
Fri Jun 18 15:10:13 2021 | f: 1+1E-4.214407/1+1E-11 | sweeps: 10000 | flat time: 0.005772s
Fri Jun 18 15:10:13 2021 | f: 1+1E-4.515443/1+1E-11 | sweeps: 10000 | flat time: 0.005791s
Fri Jun 18 15:10:13 2021 | f: 1+1E-4.816477/1+1E-11 | sweeps: 10000 | flat time: 0.005840s
Fri Jun 18 15:10:13 2021 | f: 1+1E-5.117508/1+1E-11 | sweeps: 10000 | flat time: 0.006026s
Fri Jun 18 15:10:13 2021 | f: 1+1E-5.418539/1+1E-11 | sweeps: 10000 | flat time: 0.006101s
Fri Jun 18 15:10:13 2021 | f: 1+1E-5.719570/1+1E-11 | sweeps: 10000 | flat time: 0.006173s
Fri Jun 18 15:10:13 2021 | f: 1+1E-6.020600/1+1E-11 | sweeps: 10000 | flat time: 0.005900s
Fri Jun 18 15:10:13 2021 | f: 1+1E-6.321630/1+1E-11 | sweeps: 10000 | flat time: 0.005876s
Fri Jun 18 15:10:13 2021 | f: 1+1E-6.622660/1+1E-11 | sweeps: 10000 | flat time: 0.005899s
Fri Jun 18 15:10:13 2021 | f: 1+1E-6.923690/1+1E-11 | sweeps: 10000 | flat time: 0.005867s
Fri Jun 18 15:10:13 2021 | f: 1+1E-7.224720/1+1E-11 | sweeps: 20000 | flat time: 0.012027s
Fri Jun 18 15:10:13 2021 | f: 1+1E-7.525750/1+1E-11 | sweeps: 10000 | flat time: 0.006043s
Fri Jun 18 15:10:13 2021 | f: 1+1E-7.826780/1+1E-11 | sweeps: 10000 | flat time: 0.005939s
Fri Jun 18 15:10:13 2021 | f: 1+1E-8.127810/1+1E-11 | sweeps: 10000 | flat time: 0.005981s
Fri Jun 18 15:10:13 2021 | f: 1+1E-8.428840/1+1E-11 | sweeps: 10000 | flat time: 0.005888s
Fri Jun 18 15:10:13 2021 | f: 1+1E-8.729870/1+1E-11 | sweeps: 10000 | flat time: 0.006006s
Fri Jun 18 15:10:13 2021 | f: 1+1E-9.030900/1+1E-11 | sweeps: 10000 | flat time: 0.005930s
Fri Jun 18 15:10:13 2021 | f: 1+1E-9.331930/1+1E-11 | sweeps: 10000 | flat time: 0.005855s
Fri Jun 18 15:10:13 2021 | f: 1+1E-9.632960/1+1E-11 | sweeps: 10000 | flat time: 0.005856s
Fri Jun 18 15:10:13 2021 | f: 1+1E-9.933990/1+1E-11 | sweeps: 10000 | flat time: 0.005854s
Fri Jun 18 15:10:13 2021 | f: 1+1E-10.235020/1+1E-11 | sweeps: 10000 | flat time: 0.005902s
Fri Jun 18 15:10:13 2021 | f: 1+1E-10.536050/1+1E-11 | sweeps: 10000 | flat time: 0.005776s
Fri Jun 18 15:10:13 2021 | f: 1+1E-10.837080/1+1E-11 | sweeps: 10000 | flat time: 0.005738s
