f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-3 0.011615 20000 3973 4000.000000
1+1E-0.187942 1+1E-3 0.019333 30000 5968 6000.000000
1+1E-0.546643 1+1E-3 0.013950 20000 3968 4000.000000
1+1E-0.875664 1+1E-3 0.007001 10000 1980 2000.000000
1+1E-1.190478 1+1E-3 0.014097 20000 3975 4000.000000
1+1E-1.498346 1+1E-3 0.034869 50000 9913 10000.000000
1+1E-1.802783 1+1E-3 0.021192 30000 5949 6000.000000
1+1E-2.105512 1+1E-3 0.035119 50000 9939 10000.000000
1+1E-2.407391 1+1E-3 0.046659 70000 13870 14000.000000
1+1E-2.708846 1+1E-3 0.046683 70000 13886 14000.000000
0.25064
