f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-10 0.005322 10000 1957 2000.000000
1+1E-0.187942 1+1E-10 0.005452 10000 1974 2000.000000
1+1E-0.546643 1+1E-10 0.005628 10000 1984 2000.000000
1+1E-0.875664 1+1E-10 0.005711 10000 1954 2000.000000
1+1E-1.190478 1+1E-10 0.005739 10000 1950 2000.000000
1+1E-1.498346 1+1E-10 0.005757 10000 1892 2000.000000
1+1E-1.802783 1+1E-10 0.005750 10000 1950 2000.000000
1+1E-2.105512 1+1E-10 0.005706 10000 1887 2000.000000
1+1E-2.407391 1+1E-10 0.011453 20000 3884 4000.000000
1+1E-2.708846 1+1E-10 0.011356 20000 3699 4000.000000
1+1E-3.010088 1+1E-10 0.011383 20000 3691 4000.000000
1+1E-3.311224 1+1E-10 0.011363 20000 3674 4000.000000
1+1E-3.612307 1+1E-10 0.011305 20000 3682 4000.000000
1+1E-3.913363 1+1E-10 0.022709 40000 7349 8000.000000
1+1E-4.214407 1+1E-10 0.017032 30000 5432 6000.000000
1+1E-4.515443 1+1E-10 0.034122 60000 11005 12000.000000
1+1E-4.816477 1+1E-10 0.011294 20000 3757 4000.000000
1+1E-5.117508 1+1E-10 0.039867 70000 12862 14000.000000
1+1E-5.418539 1+1E-10 0.028378 50000 9177 10000.000000
1+1E-5.719570 1+1E-10 0.028304 50000 9420 10000.000000
1+1E-6.020600 1+1E-10 0.033987 60000 10998 12000.000000
1+1E-6.321630 1+1E-10 0.022767 40000 7478 8000.000000
1+1E-6.622660 1+1E-10 0.079282 140000 25215 28000.000000
1+1E-6.923690 1+1E-10 0.017333 30000 5637 6000.000000
1+1E-7.224720 1+1E-10 0.011529 20000 3733 4000.000000
1+1E-7.525750 1+1E-10 0.011425 20000 3669 4000.000000
1+1E-7.826780 1+1E-10 0.017051 30000 5403 6000.000000
1+1E-8.127810 1+1E-10 0.023477 40000 7214 8000.000000
1+1E-8.428840 1+1E-10 0.011553 20000 3666 4000.000000
1+1E-8.729870 1+1E-10 0.017005 30000 5429 6000.000000
1+1E-9.030900 1+1E-10 0.045355 80000 14668 16000.000000
1+1E-9.331930 1+1E-10 0.034029 60000 10904 12000.000000
1+1E-9.632960 1+1E-10 0.050888 90000 16436 18000.000000
1+1E-9.933990 1+1E-10 0.016957 30000 5446 6000.000000
0.676581
