L: 4 | f_final: 1+1E-7 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 14:07:59 2021 | f: 1+1E0.235094/1+1E-7 | sweeps: 10000 | flat time: 0.005353s
Sat May 29 14:07:59 2021 | f: 1+1E-0.187942/1+1E-7 | sweeps: 10000 | flat time: 0.005630s
Sat May 29 14:07:59 2021 | f: 1+1E-0.546643/1+1E-7 | sweeps: 10000 | flat time: 0.005723s
Sat May 29 14:07:59 2021 | f: 1+1E-0.875664/1+1E-7 | sweeps: 10000 | flat time: 0.005845s
Sat May 29 14:07:59 2021 | f: 1+1E-1.190478/1+1E-7 | sweeps: 10000 | flat time: 0.005871s
Sat May 29 14:07:59 2021 | f: 1+1E-1.498346/1+1E-7 | sweeps: 10000 | flat time: 0.005873s
Sat May 29 14:07:59 2021 | f: 1+1E-1.802783/1+1E-7 | sweeps: 10000 | flat time: 0.005780s
Sat May 29 14:07:59 2021 | f: 1+1E-2.105512/1+1E-7 | sweeps: 10000 | flat time: 0.005810s
Sat May 29 14:07:59 2021 | f: 1+1E-2.407391/1+1E-7 | sweeps: 10000 | flat time: 0.005765s
Sat May 29 14:07:59 2021 | f: 1+1E-2.708846/1+1E-7 | sweeps: 10000 | flat time: 0.005756s
Sat May 29 14:07:59 2021 | f: 1+1E-3.010088/1+1E-7 | sweeps: 20000 | flat time: 0.011518s
Sat May 29 14:07:59 2021 | f: 1+1E-3.311224/1+1E-7 | sweeps: 20000 | flat time: 0.011499s
Sat May 29 14:07:59 2021 | f: 1+1E-3.612307/1+1E-7 | sweeps: 20000 | flat time: 0.011431s
Sat May 29 14:07:59 2021 | f: 1+1E-3.913363/1+1E-7 | sweeps: 40000 | flat time: 0.023019s
Sat May 29 14:07:59 2021 | f: 1+1E-4.214407/1+1E-7 | sweeps: 20000 | flat time: 0.011486s
Sat May 29 14:07:59 2021 | f: 1+1E-4.515443/1+1E-7 | sweeps: 20000 | flat time: 0.011470s
Sat May 29 14:07:59 2021 | f: 1+1E-4.816477/1+1E-7 | sweeps: 10000 | flat time: 0.005702s
Sat May 29 14:07:59 2021 | f: 1+1E-5.117508/1+1E-7 | sweeps: 20000 | flat time: 0.011426s
Sat May 29 14:07:59 2021 | f: 1+1E-5.418539/1+1E-7 | sweeps: 30000 | flat time: 0.017261s
Sat May 29 14:07:59 2021 | f: 1+1E-5.719570/1+1E-7 | sweeps: 40000 | flat time: 0.023138s
Sat May 29 14:07:59 2021 | f: 1+1E-6.020600/1+1E-7 | sweeps: 50000 | flat time: 0.028767s
Sat May 29 14:07:59 2021 | f: 1+1E-6.321630/1+1E-7 | sweeps: 20000 | flat time: 0.011447s
Sat May 29 14:07:59 2021 | f: 1+1E-6.622660/1+1E-7 | sweeps: 70000 | flat time: 0.040147s
Sat May 29 14:07:59 2021 | f: 1+1E-6.923690/1+1E-7 | sweeps: 20000 | flat time: 0.011658s
