f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-7 0.005340 10000 1978 2000.000000
1+1E-0.187942 1+1E-7 0.005482 10000 1980 2000.000000
1+1E-0.546643 1+1E-7 0.005725 10000 1977 2000.000000
1+1E-0.875664 1+1E-7 0.005908 10000 1962 2000.000000
1+1E-1.190478 1+1E-7 0.005905 10000 1923 2000.000000
1+1E-1.498346 1+1E-7 0.005912 10000 1940 2000.000000
1+1E-1.802783 1+1E-7 0.005825 10000 1886 2000.000000
1+1E-2.105512 1+1E-7 0.005840 10000 1912 2000.000000
1+1E-2.407391 1+1E-7 0.005829 10000 1801 2000.000000
1+1E-2.708846 1+1E-7 0.005781 10000 1842 2000.000000
1+1E-3.010088 1+1E-7 0.011542 20000 3690 4000.000000
1+1E-3.311224 1+1E-7 0.011584 20000 3629 4000.000000
1+1E-3.612307 1+1E-7 0.017293 30000 5480 6000.000000
1+1E-3.913363 1+1E-7 0.011486 20000 3685 4000.000000
1+1E-4.214407 1+1E-7 0.017259 30000 5511 6000.000000
1+1E-4.515443 1+1E-7 0.034452 60000 11020 12000.000000
1+1E-4.816477 1+1E-7 0.028537 50000 9250 10000.000000
1+1E-5.117508 1+1E-7 0.017137 30000 5605 6000.000000
1+1E-5.418539 1+1E-7 0.017162 30000 5607 6000.000000
1+1E-5.719570 1+1E-7 0.017185 30000 5524 6000.000000
1+1E-6.020600 1+1E-7 0.017218 30000 5451 6000.000000
1+1E-6.321630 1+1E-7 0.011441 20000 3703 4000.000000
1+1E-6.622660 1+1E-7 0.005753 10000 1801 2000.000000
1+1E-6.923690 1+1E-7 0.005742 10000 1847 2000.000000
0.281462
