run: 27 | L: 4 | f_final: 1+1E-9 | flatness: 80 | dim: 2D | lattice: SS
Fri Jun 18 15:12:20 2021 | f: 1+1E0.235094/1+1E-9 | sweeps: 10000 | flat time: 0.005280s
Fri Jun 18 15:12:20 2021 | f: 1+1E-0.187942/1+1E-9 | sweeps: 10000 | flat time: 0.005481s
Fri Jun 18 15:12:20 2021 | f: 1+1E-0.546643/1+1E-9 | sweeps: 10000 | flat time: 0.005684s
Fri Jun 18 15:12:20 2021 | f: 1+1E-0.875664/1+1E-9 | sweeps: 10000 | flat time: 0.005896s
Fri Jun 18 15:12:20 2021 | f: 1+1E-1.190478/1+1E-9 | sweeps: 10000 | flat time: 0.005923s
Fri Jun 18 15:12:20 2021 | f: 1+1E-1.498346/1+1E-9 | sweeps: 10000 | flat time: 0.006122s
Fri Jun 18 15:12:20 2021 | f: 1+1E-1.802783/1+1E-9 | sweeps: 10000 | flat time: 0.006153s
Fri Jun 18 15:12:20 2021 | f: 1+1E-2.105512/1+1E-9 | sweeps: 10000 | flat time: 0.005932s
Fri Jun 18 15:12:20 2021 | f: 1+1E-2.407391/1+1E-9 | sweeps: 10000 | flat time: 0.005856s
Fri Jun 18 15:12:20 2021 | f: 1+1E-2.708846/1+1E-9 | sweeps: 10000 | flat time: 0.005868s
Fri Jun 18 15:12:20 2021 | f: 1+1E-3.010088/1+1E-9 | sweeps: 10000 | flat time: 0.005854s
Fri Jun 18 15:12:20 2021 | f: 1+1E-3.311224/1+1E-9 | sweeps: 10000 | flat time: 0.005901s
Fri Jun 18 15:12:20 2021 | f: 1+1E-3.612307/1+1E-9 | sweeps: 10000 | flat time: 0.005803s
Fri Jun 18 15:12:20 2021 | f: 1+1E-3.913363/1+1E-9 | sweeps: 10000 | flat time: 0.005839s
Fri Jun 18 15:12:20 2021 | f: 1+1E-4.214407/1+1E-9 | sweeps: 20000 | flat time: 0.011815s
Fri Jun 18 15:12:20 2021 | f: 1+1E-4.515443/1+1E-9 | sweeps: 10000 | flat time: 0.005880s
Fri Jun 18 15:12:20 2021 | f: 1+1E-4.816477/1+1E-9 | sweeps: 10000 | flat time: 0.005897s
Fri Jun 18 15:12:20 2021 | f: 1+1E-5.117508/1+1E-9 | sweeps: 30000 | flat time: 0.017784s
Fri Jun 18 15:12:20 2021 | f: 1+1E-5.418539/1+1E-9 | sweeps: 10000 | flat time: 0.005751s
Fri Jun 18 15:12:20 2021 | f: 1+1E-5.719570/1+1E-9 | sweeps: 20000 | flat time: 0.011434s
Fri Jun 18 15:12:20 2021 | f: 1+1E-6.020600/1+1E-9 | sweeps: 10000 | flat time: 0.005770s
Fri Jun 18 15:12:20 2021 | f: 1+1E-6.321630/1+1E-9 | sweeps: 10000 | flat time: 0.005794s
Fri Jun 18 15:12:20 2021 | f: 1+1E-6.622660/1+1E-9 | sweeps: 10000 | flat time: 0.005720s
Fri Jun 18 15:12:20 2021 | f: 1+1E-6.923690/1+1E-9 | sweeps: 20000 | flat time: 0.011530s
Fri Jun 18 15:12:20 2021 | f: 1+1E-7.224720/1+1E-9 | sweeps: 10000 | flat time: 0.005737s
Fri Jun 18 15:12:20 2021 | f: 1+1E-7.525750/1+1E-9 | sweeps: 30000 | flat time: 0.017168s
Fri Jun 18 15:12:20 2021 | f: 1+1E-7.826780/1+1E-9 | sweeps: 10000 | flat time: 0.005706s
Fri Jun 18 15:12:20 2021 | f: 1+1E-8.127810/1+1E-9 | sweeps: 10000 | flat time: 0.005764s
Fri Jun 18 15:12:20 2021 | f: 1+1E-8.428840/1+1E-9 | sweeps: 10000 | flat time: 0.005727s
Fri Jun 18 15:12:20 2021 | f: 1+1E-8.729870/1+1E-9 | sweeps: 20000 | flat time: 0.011562s
