run: 4 | L: 4 | f_final: 1+1E-4 | flatness: 80 | dim: 2D | lattice: SS
Fri Jun 18 15:11:03 2021 | f: 1+1E0.235094/1+1E-4 | sweeps: 10000 | flat time: 0.005536s
Fri Jun 18 15:11:03 2021 | f: 1+1E-0.187942/1+1E-4 | sweeps: 10000 | flat time: 0.005621s
Fri Jun 18 15:11:03 2021 | f: 1+1E-0.546643/1+1E-4 | sweeps: 10000 | flat time: 0.005934s
Fri Jun 18 15:11:03 2021 | f: 1+1E-0.875664/1+1E-4 | sweeps: 10000 | flat time: 0.005928s
Fri Jun 18 15:11:03 2021 | f: 1+1E-1.190478/1+1E-4 | sweeps: 10000 | flat time: 0.006122s
Fri Jun 18 15:11:03 2021 | f: 1+1E-1.498346/1+1E-4 | sweeps: 10000 | flat time: 0.006104s
Fri Jun 18 15:11:03 2021 | f: 1+1E-1.802783/1+1E-4 | sweeps: 10000 | flat time: 0.006034s
Fri Jun 18 15:11:03 2021 | f: 1+1E-2.105512/1+1E-4 | sweeps: 10000 | flat time: 0.005969s
Fri Jun 18 15:11:03 2021 | f: 1+1E-2.407391/1+1E-4 | sweeps: 10000 | flat time: 0.005804s
Fri Jun 18 15:11:03 2021 | f: 1+1E-2.708846/1+1E-4 | sweeps: 10000 | flat time: 0.005749s
Fri Jun 18 15:11:03 2021 | f: 1+1E-3.010088/1+1E-4 | sweeps: 10000 | flat time: 0.005728s
Fri Jun 18 15:11:03 2021 | f: 1+1E-3.311224/1+1E-4 | sweeps: 10000 | flat time: 0.005829s
Fri Jun 18 15:11:03 2021 | f: 1+1E-3.612307/1+1E-4 | sweeps: 10000 | flat time: 0.005778s
Fri Jun 18 15:11:03 2021 | f: 1+1E-3.913363/1+1E-4 | sweeps: 10000 | flat time: 0.005906s
